annotater,CIDa,review#a,CIDq,review#q,CIDb,review#b,Waldo,confidence,comments,,,,,,,,,,,,,,,,,,
3,12943337,R7NAIYGCNUI6I,8619660,R19FJXYA9WON72,12943337,R12986F71HIAOU,B,,everything is grammatically reasonable in the selection.,,,,,,,,,,,,,,,,,,
4,19871781,R1GZNXUUNUCKZS,15901408,RTQE4IQ8MUW3Z,19871781,R2ZMVKE64J89RD,Q,,I thought the selected user had a different style.,,,,,,,,,,,,,,,,,,
5,12943337,R3NGEXG4EKF4XG,15901408,R17CHTUV775R5K,12943337,R2VLY4MJQOF5H0,Q,,capital letters were used on the two other examples while the odd one out had none.,,,,,,,,,,,,,,,,,,
6,13682953,R3HDJ2U83PPH1B,19994864,R18UE9FU5IQV38,13682953,RK5VL6VC0TVMI,A,,this was hard for me. I mostly picked based on a miscapitalized letter.,,,,,,,,,,,,,,,,,,
7,19871781,R1Y0TBE0O2G1PV,12943337,R26MB9AQQVPP9R,19871781,R3G2TBTL4R2X5R,B,,the second one started differently.,,,,,,,,,,,,,,,,,,
8,14531925,R1T0VXEWK5CFJ0,13287030,R13N0GSTO1V6MU,14531925,R1QGSS2KWOJF27,B,,capitalized words and different starting.,,,,,,,,,,,,,,,,,,
9,19994864,R2SH2OW8WY7ADP,12943337,R8ZF5IOUEBNS0,19994864,R22OP0JFTMD4D1,Q,,name signed on the first and second one.,,,,,,,,,,,,,,,,,,
10,12660387,RNOGMKWJE2IJ9,10589108,R2102J6Y4TEVTH,12660387,R1W0HWENX1AWI1,Q,,wrong punctuations on the third, and also way verbose.,,,,,,,,,,,,,,,,,
24,19994864,R1YXD0G52HRF6G,8619660,R3NAF9MRL1DAMJ,19994864,R190JBSATRWN0Z,Q,,Both of the others talked about a niece, with hurried-looking spelling and punctuation,,,,,,,,,,,,,,,,,
25,17010412,R15OHGN60HFPUD,19894899,R35GU72X9G0QGY,17010412,R1NMN6MYFJ1CB6,Q,,The different one had capital letters.,,,,,,,,,,,,,,,,,,
26,12660387,R3MW9ME0HE8Q5N,19994864,R2XEE5A9ALLLBO,12660387,R3G9YYWRBW2Y0B,B,,This was a tough one, because it seemed to be 3 different authors. The one picked was shorter, and skipped capitalization on the initial sentence. The other two both seemed to be more along the lines of literary analysis.,,,,,,,,,,,,,,,,
27,15350118,RFMCGUUI3TEF0,16475984,R3ABOTPAFPUZNX,15350118,R2XMX8CAZLEZAY,Q,,The one selected had a different sentence at the end acknowledging free product in exchange for making the review.,,,,,,,,,,,,,,,,,,
28,13682953,RI731DR5P37Z5,12943337,R251UZ7WEA8FY3,13682953,RUWQ6KQ7P154D,Q,,This one had spelling errors and the others did not.,,,,,,,,,,,,,,,,,,
29,19631423,R33U5DEZYDIXOX,12626911,RKWSH232EWVME,19631423,R3JB2OK3RZH51,Q,,This one was signed and the others were not.,,,,,,,,,,,,,,,,,,
30,13287030,RKN13JZ0HNF7W,13682953,R12KCBJ77OYIS6,13287030,R2NIVIMZDBDZU,A,,I would have made corrections to the one selected if editing; not the other 2.,,,,,,,,,,,,,,,,,,
31,15290117,R2BJ8XG03756D7,19827607,R28FOSU8Z2VNK6,15290117,R1X123WVPNI4L6,B,,The use of slang spelling and disregard of classic rules of punctuation and capitalization set this author apart.,,,,,,,,,,,,,,,,,,
32,16475984,R26X2I7QWSZ1NR,15350118,R2YKFOUVAUAYOG,16475984,RK8VZSKBI5Y9V,Q,,The other writer repeated the first few words of the body in the headline, and the review seemed to be bullets or notes, wheras this one had structure.,,,,,,,,,,,,,,,,
33,7338970,RIJ1DIZYR2COC,11615823,R30CXF1JFKH130,7338970,RS5OACYXISVMH,Q,,,,,,,,,,,,,,,,,,,,
34,13682953,RAOWD1ELJQXRM,12626911,R18098BVPZ3I0X,13682953,R11AFF1IERX6RA,Q,,,,,,,,,,,,,,,,,,,,
35,15941329,R1A31AXGSHXOJP,19146980,R3KLCBXME58YBG,15941329,R1DSAS71X8YIIG,Q,,,,,,,,,,,,,,,,,,,,
36,19894899,R396BB4TDOBEL7,19994864,RQ35KTQS29T04,19894899,R3D9M9QMTVYX2M,Q,,,,,,,,,,,,,,,,,,,,
37,12877778,R21099KXIV34UC,18789308,RCEDEFWZK5M2L,12877778,R1M92AQOHHGCFZ,B,,,,,,,,,,,,,,,,,,,,
38,13287030,R1LGL9JFO3FXWM,16475984,REJT31W9SIVE1,13287030,R9KBZYJFXLI6Q,Q,,,,,,,,,,,,,,,,,,,,
39,12998060,R1CTWZM4C6V7O,13355404,R1MDHBQ9B73POD,12998060,R3LOKXBFVDTU89,Q,,,,,,,,,,,,,,,,,,,,
40,11615823,R2O445CRP3CMIP,15941329,R1E0V9CUP5AP0I,11615823,RAXW51WMD3M6I,Q,,,,,,,,,,,,,,,,,,,,
